ID;Name;Qantity;Prix
1;FORT MULTI PACK;48;21
2;ETUVE DIALNA 75G;72;14
3;NATURE 100G;48;21
4;FLAN CARAMELLE;48;26
5;ACTI+ AROM 100G;48;26
6;PATISSRIER 100G;48;27
7;JNINA AUX FRUITS;48;27
8;MAMZOUJ AROM 100G;48;22
9;CREME DESSERT DIALNA 75G;48;14
10;BNINA DOUBLLE SAVEUR;48;26
11;ALADIN AROM 45G;96;20
12;PETIT SUISSE;144;15
13;REGIME 90G;64;45
14;DIALNA BRASE 70G;72;14
15;ETUVE DIALNA 100G;48;18
16;BNINA BANANE;48;26
17;COMPOTE;72;40
18;ACTI+ FRUITE;48;27
19;LIGHT 100G;48;21
20;LIEGOIS 90G;48;35
21;JNINA BICOUCHE 125G;48;35
22;MOUSSE AU CHOCOLAT;48;35
23;RIZ AU LAIT;40;35
24;TARTI FRAIS AIL;64;60
25;FLAN CHOCOLAT;48;30
26;PETIT POS CARAMELLE;48;40
27;PETIT POS CHOCOLT;48;40
28;GREEC;48;35
29;PANACOTA;48;35
30;MINCEUR 100G;48;26
31;FROMAGE AMIR;60;95
32;GHACHDIA;48;26
33;LAIT FRAISE;48;17
34;JOLI;72;12,5
35;DIALNA 100G;48;18
36;YAGO 1KG;6;135
37;PATISSRIER 1KG;6;153
38;JNINA ABOIR 1KG;6;150
39;JUS OLIE 1 KG;6;135
40;CERALO 1 KG;6;153
41;LAYMOUNA 1 L;6;90
42;RAIB 1KG;6;135
43;LBEN 1L;6;135
44;YAGO 170G;12;37
45;ALADIN ABOIR;16;30
46;YAGO 500G;6;75
47;JNINA ABOIR 500G;6;80
48;ACTI+ ABOIR 100ML;16;30
49;PETIT DEJEUNER 170G;12;38
50;PATISSRIER 500G;6;80
51;OLE 160ML;12;37
52;LASSI;6;95
53;OLE 125 ML;24;30
54;OLE UHT 1L;6;140
55;LAIT CREME;6;120
56;SOMY 20CL;24;43
57;SOMY 1L;6;175
58;CREME FRAICHE 500ML;6;210
59;DIALNA 180 ML;24;40
60;VIVA TRANCHE;20;205
61;VIVA;20;215
62;LESCAL;20;205
63;SERDINE;50;130
64;FORMAGE MININ BARA DIALNA;20;220
65;HIPPONE;20;215
66;OBEI FRAISE 1L;12;170,83
67;OBEI FRAISE 200ML;24;50
68;LAIT OBEI ENTIER;12;133
69;LAIT OBEI;6;120
70;LAIT OBEI 25CL;24;41,66
71;OBEI BANANE 20CL;24;50
72;OBEI CHOCO 20CL;24;50
73;OBEI CHOCO 1L;12;170,83
74;OBEI BANANE 1L;12;170,83
75;OBEI CREME 1L;12;125
76;DIALNA 16 EDAM;32;175
77;TOP SOUMA 16P;32;155
78;TOP SOUMA 24P;24;225
79;TOP SOUMA 32P;16;300
80;TOP SOUMA CHEF;20;200
81;DIALNA CHEF;20;220
82;DIALNA 8P;48;90
83;DIALNA 16P;32;175
84;DIALNA 24 P;24;250
85;DIALNA 32 P;0;330
86;CHEDARELLE;21;105
87;NAPOLI BARA;1;360
88;NAPOLI 400G;20;165
89;NAPOLI 800G;10;305
90;NAPOLI CHAPLI;36;100
91;DIALNA 180 ML;0;40
92;DELICES 8P;0;120
93;DELICES 16P;0;230
94;DELICES 24P;0;335
95;FORMAGE TOP SOUMA08;0;85
96;FORMAGE 1800 G;0;900
97;KACHIR NRML 2KG;1;320
98;KACHIR PIZZA 2KG;1;320
99;KACHIR  FROMAGE 2KG;1;320
100;CHAPLI 1KG;1;360
101;CHAPLI PIZZA 1KG;1;360
102;CHAPLI FROMAGE 1KG;1;360
103;ROUTI;1;950
104;CACHIR PIZZA 0,5 G;1;340
